Year,RMS dB,Start Time
2020 (Covid),99.2,5:10
2020 (Covid),98.4,5:20
2020 (Covid),98.5,5:30
2020 (Covid),99.8,5:40
2020 (Covid),99.4,5:50
2020 (Covid),103.1,6:00
2020 (Covid),103,6:10
2020 (Covid),101.3,6:20
2020 (Covid),99,6:30
2020 (Covid),98.6,6:40
2020 (Covid),100.1,6:50
2020 (Covid),98.5,7:00
2020 (Covid),98.6,7:10
2020 (Covid),100.2,7:20
2020 (Covid),98.7,7:30
2020 (Covid),102.5,7:40
2020 (Covid),101.6,7:50
2020 (Covid),100,8:00
2020 (Covid),109,8:10
2020 (Covid),100,8:20
2020 (Covid),100.4,8:30
2020 (Covid),99.8,8:40
2020 (Covid),100.2,8:50
2020 (Covid),99.6,9:00
2020 (Covid),99.6,9:10
2020 (Covid),99.5,9:20
2020 (Covid),99.7,9:30
2020 (Covid),100,9:40
2020 (Covid),99.8,9:50
2020 (Covid),108.4,10:00
2020 (Covid),99.3,10:10
2020 (Covid),99.2,10:20
2020 (Covid),99,10:30
2020 (Covid),99.4,10:40
2020 (Covid),100.3,10:50
2020 (Covid),101.5,11:00
2020 (Covid),100.7,11:10
2020 (Covid),99.4,11:20
2020 (Covid),99.8,11:30
2020 (Covid),101.1,11:40
2020 (Covid),108.6,11:50
2020 (Covid),116.7,12:00
2020 (Covid),100.8,12:10
2020 (Covid),99.4,12:20
2020 (Covid),110.8,12:30
2020 (Covid),100.9,12:40
2020 (Covid),99.2,12:50
2020 (Covid),100.1,13:00
2020 (Covid),99.2,13:10
2020 (Covid),99.5,13:20
2020 (Covid),106.6,13:30
2020 (Covid),99.6,13:40
2020 (Covid),99.6,13:50
2020 (Covid),100.1,14:00
2020 (Covid),100.3,14:10
2020 (Covid),101.1,14:20
2020 (Covid),102.2,14:30
2020 (Covid),100.3,14:40
2020 (Covid),101,14:50
2020 (Covid),100.1,15:00
2020 (Covid),99.9,15:10
2020 (Covid),100,15:20
2020 (Covid),105.8,15:30
2020 (Covid),107.1,15:40
2020 (Covid),100.3,15:50
2020 (Covid),100.4,16:00
2020 (Covid),102.2,16:10
2020 (Covid),100.1,16:20
2020 (Covid),100.9,16:30
2020 (Covid),103.1,16:40
2020 (Covid),100,16:50
2020 (Covid),100.4,17:00
2020 (Covid),99.2,17:10
2020 (Covid),100.9,17:20
2020 (Covid),100.1,17:30
2020 (Covid),98.7,17:40
2020 (Covid),103,17:50
2020 (Covid),100.9,18:00
2020 (Covid),107.2,18:10
2020 (Covid),101.8,18:20
2020 (Covid),99.4,18:30
2020 (Covid),108.7,18:40
2020 (Covid),117.9,18:50
2020 (Covid),119.1,19:00
2020 (Covid),122.2,19:10
2020 (Covid),109.6,19:20
2020 (Covid),107.4,19:30
2020 (Covid),107.6,19:40
2020 (Covid),105.3,19:50
2020 (Covid),111.4,20:00
2020 (Covid),113.4,20:10
2020 (Covid),114.2,20:20
2020 (Covid),113.2,20:30
2020 (Covid),113.2,20:40
2020 (Covid),113.6,20:50
2020 (Covid),111.8,21:00
2020 (Covid),111.9,21:10
2020 (Covid),104.9,21:20
2020 (Covid),103.6,21:30
2020 (Covid),101.6,21:40
2020 (Covid),100,21:50
2020 (Covid),100.2,22:20
2020 (Covid),100.2,22:30
2020 (Covid),100.1,22:40
2020 (Covid),100.9,22:50
2020 (Covid),114.6,23:00
2020 (Covid),105.8,23:10
2020 (Covid),105.5,23:20
2020 (Covid),103.5,23:30
2020 (Covid),98.6,23:40
2020 (Covid),99.1,23:50
2020 (Covid),98.1,0:00
2020 (Covid),121.7,0:10
2020 (Covid),97.7,0:20
2020 (Covid),98.3,0:30
2020 (Covid),98.3,0:40
2020 (Covid),98,0:50
2020 (Covid),98.6,1:00
2020 (Covid),97.9,1:10
2020 (Covid),98,1:20
2020 (Covid),98.1,1:30
2020 (Covid),97.9,1:40
2020 (Covid),97.7,1:50
2020 (Covid),103.8,2:00
2020 (Covid),104.1,2:10
2020 (Covid),104.1,2:20
2020 (Covid),103.9,2:29
2020 (Covid),104,2:40
2020 (Covid),104.6,2:50
2020 (Covid),104.1,3:00
2020 (Covid),104.2,3:10
2020 (Covid),104,3:20
2020 (Covid),104.5,3:30
2020 (Covid),103.7,3:40
2020 (Covid),104.7,3:50
2020 (Covid),104.3,3:59
2020 (Covid),104,4:10
2020 (Covid),104.2,4:20
2020 (Covid),104,4:30
2020 (Covid),104.1,4:40
2020 (Covid),103.7,4:50
2020 (Covid),103.7,5:00
2020 (Covid),103.6,5:10
2020 (Covid),103.5,5:20
2020 (Covid),103.5,5:30
2020 (Covid),103.9,5:40
2020 (Covid),109.5,5:50
2020 (Covid),109.9,6:00
2020 (Covid),104.7,6:10
2020 (Covid),104.7,6:20
2020 (Covid),104.4,6:30
2020 (Covid),104.5,6:40
2020 (Covid),104.4,6:50
2020 (Covid),103.4,7:00
2020 (Covid),103.4,7:10
2020 (Covid),103.7,7:20
2020 (Covid),103.4,7:30
2020 (Covid),106.1,7:40
2020 (Covid),103.6,7:50
2020 (Covid),107.1,8:00
2020 (Covid),103.6,8:10
2020 (Covid),117.8,8:20
2020 (Covid),104.2,8:30
2020 (Covid),103.6,8:40
2020 (Covid),103.8,8:50
2020 (Covid),104,9:00
2020 (Covid),108.4,9:10
2020 (Covid),104,9:20
2020 (Covid),105.6,9:30
2020 (Covid),105.6,9:40
2020 (Covid),104.3,9:50
2020 (Covid),104.1,10:00
2020 (Covid),103.3,10:10
2020 (Covid),103.8,10:20
2020 (Covid),106.7,10:30
2020 (Covid),104,10:40
2020 (Covid),107.2,10:50
2020 (Covid),107.2,11:00
2020 (Covid),107,11:10
2020 (Covid),113.9,11:20
2020 (Covid),103.8,11:30
2020 (Covid),105.5,11:40
2020 (Covid),106.5,11:50
2020 (Covid),107,12:00
2020 (Covid),103.3,12:10
2020 (Covid),103.3,12:20
2020 (Covid),102.9,12:30
2020 (Covid),103.5,12:40
2020 (Covid),102.7,12:50
2020 (Covid),103.1,13:00
2020 (Covid),104.2,13:10
2020 (Covid),107.1,13:20
2020 (Covid),104.9,13:30
2020 (Covid),109.9,13:40
2020 (Covid),105.7,13:50
2020 (Covid),102.6,14:00
2020 (Covid),110.7,14:10
2020 (Covid),102,14:20
2020 (Covid),101.4,14:30
2020 (Covid),113.7,14:40
2020 (Covid),108.2,14:50
2020 (Covid),109.6,15:00
2020 (Covid),102.6,15:10
2020 (Covid),102.1,15:20
2020 (Covid),102,15:30
2020 (Covid),111.3,15:40
2020 (Covid),102.4,15:50
2020 (Covid),100.4,16:00
2020 (Covid),102.2,16:10
2020 (Covid),100.1,16:20
2020 (Covid),100.9,16:30
2020 (Covid),103.1,16:40
2020 (Covid),100,16:50
2020 (Covid),100.4,17:00
2020 (Covid),99.2,17:10
2020 (Covid),100.9,17:20
2020 (Covid),100.1,17:30
2020 (Covid),98.7,17:40
2020 (Covid),103.1,17:50
2020 (Covid),107.1,18:00
2020 (Covid),109,18:10
2020 (Covid),103.5,18:20
2020 (Covid),104,18:30
2020 (Covid),103.6,18:40
2020 (Covid),110.5,18:50
2020 (Covid),105.2,19:00
2020 (Covid),106.2,19:10
2020 (Covid),106.4,19:20
2020 (Covid),106.7,19:30
2020 (Covid),106.9,19:40
2020 (Covid),106.8,19:50
2020 (Covid),106.7,19:59
2020 (Covid),106.4,20:10
2020 (Covid),106.4,20:20
2020 (Covid),106.6,20:30
